text,category
please set the equalizer in the party mode,music_settings
stock market,qa_stock
do i have any new entries in my inbox,email_query
did i get an email from mike,email_query
what is the geographic info of a pop singer rahman,qa_factoid
book swan play,play_audiobook
get me a taxi to take me to the airport on friday at five thirty am,transport_taxi
can you order me some pizza,takeaway_order
start robot vacuum,iot_cleaning
what is the cooking time for boiled eggs,cooking_recipe
what is the financial capital of canada,qa_factoid
please do not respond,audio_volume_mute
drive the car and bring my friends over,general_quirky
set the alarm for tomorrow five am,alarm_set
remove a list of accessories purchase last week,lists_remove
play the podcast of barack obama saved in device,play_podcasts
could you once again rephrase me about your answers.,general_explain
remove the first alarm,alarm_remove
can you turn on the vacuum,iot_cleaning
find a shop that sells beer,recommendation_locations
can you play my music file,play_music
what the sexiest food to cook on a date,cooking_recipe
please note i like jazz and hate disco,music_likeness
current price of google please,qa_stock
i need to edit marie jones email address to read,email_sendemail
start vacuum cleaner,iot_cleaning
could you check that please.,general_confirm
i love to rock out with my sock out,music_likeness
can you mute when i am not home,audio_volume_mute
"thank you so much for the help, olly.",general_praise
give me best cooking ideas,cooking_recipe
what is the stock price of hdfc,qa_stock
u. s. d. position now,qa_currency
open my calendar,calendar_query
can you please order me some mcdonalds,takeaway_order
"amazing job, you have done well.",general_praise
will you explain me about what you have said once again please.,general_explain
replay this song i really like it,music_likeness
write this message to the coworker group,email_sendemail
will the fast food shop at the corner open today,recommendation_locations
turn off my alarms,alarm_remove
tweet @bobburgers they screwed up my order and i had to wait an extra hour,social_post
do you know any joke,general_joke
whats the currency exchange rate from dollars to euros,qa_currency
are my contacts mostly female or male,email_querycontact
how long i can go to dundee,transport_query
set the music volume to ninety,audio_volume_up
let wendy's know i hate them,social_post
i need a train ticket to,transport_ticket
what is the traffic like right now,transport_traffic
what's the rate between pesos and yen,qa_currency
i want you to check and confirm what last said please.,general_confirm
announce a comment in facebook,social_post
tell me about this week's weather,weather_query
don't talk,audio_volume_mute
what is the definition of god,qa_definition
who has written to me or mentioned me in social media,social_query
i think you've done this all in wrong manner.,general_negate
brew me some coffee,iot_coffee
down the speaker volume at the end of level,audio_volume_mute
turn on kitchen light,iot_wemo_on
would you please check my last command.,general_confirm
what is the name of this musical group,music_query
hips dont lie thats the song i would like you to play for me,play_music
what events are going to happen in my city between two four pm today,calendar_query
email mahmoud,email_sendemail
schedule lunch at tomo in arcata california tomorrow at noon,calendar_set
can you please confirm what said.,general_confirm
"you are star, thank you so much.",general_praise
continue from where we left off in divergent,play_audiobook
please start vacuum cleaner,iot_cleaning
please read me my current lists,lists_query
turn on vacuum,iot_cleaning
the list should not contain all food items with the prefix dry,lists_remove
please tell me a joke,general_joke
do not care.,general_dontcare
start radio and go to frequency on nine hundred and forty three,play_radio
get us spaghetti from pizza hut,takeaway_order
please raise the volume of speaker,audio_volume_up
i like you to confirm the details please.,general_confirm
make a call to,email_querycontact
would you tell me what i said one more time again.,general_repeat
get the roomba to start cleaning,iot_cleaning
would you please once again rephrase me on your answers.,general_explain
how is the traffic on harvard,transport_traffic
what is the home phone number for sarah,email_querycontact
please show me best run program in jodhpur,recommendation_events
tell me a joke about dogs,general_joke
let me know about any alarms set today,alarm_query
"that was good one, thank you so much.",general_praise
let me hear that podcast,play_podcasts
play me news radio channel,play_radio
i want to hear my favorite jazz music genre,play_music
set reminder notification for three o'clock,calendar_set
